tau	theta0	theta1	ragvalue	pvalue	downtau(alpha=0.01)	uptau(alpha=0.01)	downtau(alpha=0.05)	uptau(alpha=0.05)	downtau(alpha=0.1)	uptau(alpha=0.1)	downtheta0(alpha=0.01)	uptheta0(alpha=0.01)	downtheta0(alpha=0.05)	uptheta0(alpha=0.05)	downtheta0(alpha=0.1)	uptheta0(alpha=0.1)	downtheta1(alpha=0.01)	uptheta1(alpha=0.01)	downtheta1(alpha=0.05)	uptheta1(alpha=0.05)	downtheta1(alpha=0.1)	uptheta1(alpha=0.1)
2.955	0.000	99999.000	0.00200000	0.00600000	2.334	3.762	2.455	3.412	2.512	3.322	0.000	0.796	0.000	0.422	0.000	0.171	15.484	99999.000	24.625	99999.000	35.016	99999.000
1.969	0.000	99999.000	0.07000000	0.17500000	1.465	2.643	1.531	2.428	1.664	2.316	0.000	0.408	0.000	0.167	0.000	0.044	7.535	99999.000	11.461	99999.000	16.148	99999.000
2.596	0.000	99999.000	0.04600000	0.02600000	1.918	3.461	2.098	3.062	2.252	2.967	0.000	0.687	0.000	0.260	0.000	0.077	12.867	99999.000	18.766	99999.000	25.719	99999.000
2.416	0.005	99999.000	0.30900000	0.43800000	1.502	3.168	1.914	2.850	2.088	2.764	0.000	0.529	0.000	0.302	0.000	0.104	11.305	99999.000	15.973	99999.000	22.711	99999.000
2.752	0.000	99999.000	0.15200000	0.19500000	2.094	3.375	2.268	3.229	2.396	3.127	0.000	0.550	0.000	0.251	0.000	0.109	13.746	99999.000	22.008	99999.000	30.758	99999.000
2.383	0.000	15.918	0.53400000	0.20300000	0.514	4.303	1.021	3.652	1.289	3.439	0.000	1.960	0.000	0.893	0.000	0.534	2.759	99999.000	4.268	99999.000	5.664	99999.000
2.953	0.000	99999.000	0.01800000	0.02100000	2.172	3.564	2.457	3.414	2.531	3.340	0.000	0.710	0.000	0.399	0.000	0.118	13.902	99999.000	21.969	99999.000	29.312	99999.000
2.252	0.000	99999.000	0.00000000	0.00300000	1.689	2.914	1.822	2.744	1.934	2.627	0.000	0.626	0.000	0.311	0.000	0.139	9.605	99999.000	14.918	99999.000	20.133	99999.000
1.773	0.002	99999.000	0.06400000	0.11600000	1.070	2.447	1.352	2.223	1.443	2.135	0.000	0.471	0.000	0.192	0.000	0.076	6.119	99999.000	8.512	99999.000	11.461	99999.000
2.996	0.000	37.695	0.67700000	0.83000000	0.988	4.254	1.391	3.965	1.684	3.738	0.000	1.886	0.000	1.341	0.000	0.977	7.412	99999.000	10.742	99999.000	13.750	99999.000
1.707	0.000	22.017	0.68900000	0.75100000	0.428	2.980	0.721	2.617	0.955	2.438	0.000	1.234	0.000	0.752	0.000	0.538	1.857	99999.000	2.872	99999.000	3.603	99999.000
2.477	0.002	45.703	0.57600000	0.24900000	0.840	3.627	1.178	3.328	1.434	3.170	0.000	1.614	0.000	1.030	0.000	0.803	4.464	99999.000	7.188	99999.000	9.910	99999.000
2.779	0.007	134.219	0.60100000	0.77800000	1.426	3.598	1.682	3.387	1.896	3.252	0.000	1.389	0.000	1.053	0.000	0.766	10.049	99999.000	13.613	99999.000	19.492	99999.000
1.908	0.621	68.047	0.71900000	0.99400000	0.523	5.293	1.066	4.111	1.342	3.721	0.000	3.713	0.000	1.318	0.000	0.905	5.518	99999.000	8.223	99999.000	10.537	99999.000
2.719	0.000	621.250	0.50900000	0.25800000	1.633	3.264	1.834	3.104	1.924	3.045	0.000	1.072	0.000	0.816	0.000	0.675	11.543	99999.000	16.824	99999.000	23.223	99999.000
3.217	0.000	99999.000	0.47000000	0.34100000	2.504	3.977	2.717	3.701	2.785	3.629	0.000	0.682	0.000	0.371	0.000	0.100	19.938	99999.000	27.711	99999.000	34.469	99999.000
3.338	0.000	99999.000	0.06500000	0.01500000	2.584	4.072	2.838	3.822	2.914	3.732	0.000	0.640	0.000	0.406	0.000	0.109	22.555	99999.000	31.070	99999.000	39.000	99999.000
2.219	0.000	99999.000	0.25600000	0.56600000	1.703	2.932	1.834	2.723	1.914	2.615	0.000	0.538	0.000	0.234	0.000	0.074	8.268	99999.000	12.672	99999.000	18.023	99999.000
2.303	0.000	99999.000	0.09000000	0.06800000	1.721	2.953	1.826	2.756	1.945	2.658	0.000	0.596	0.000	0.308	0.000	0.095	9.996	99999.000	14.352	99999.000	18.922	99999.000
2.764	0.012	13.313	0.83500000	0.89200000	0.613	5.168	1.084	4.416	1.361	4.057	0.000	1.967	0.000	1.185	0.000	0.882	2.323	99999.000	3.883	99999.000	5.327	99999.000
1.648	0.000	99999.000	0.01400000	0.04500000	1.139	2.281	1.322	2.125	1.383	2.012	0.000	0.318	0.000	0.146	0.000	0.062	4.996	99999.000	7.633	99999.000	11.168	99999.000
2.961	0.000	988.750	0.32100000	0.08100000	1.807	3.539	1.980	3.355	2.143	3.311	0.000	1.148	0.000	0.893	0.000	0.708	16.445	99999.000	22.188	99999.000	29.844	99999.000
2.900	0.012	39.766	0.60300000	0.42300000	1.268	4.461	1.510	3.896	1.785	3.668	0.000	1.702	0.000	1.181	0.000	0.944	5.498	99999.000	9.258	99999.000	12.100	99999.000
3.682	0.004	275.625	0.17500000	0.06800000	2.123	4.477	2.408	4.270	2.631	4.154	0.000	1.468	0.000	1.083	0.000	0.953	24.258	99999.000	32.734	99999.000	42.109	99999.000
1.658	0.000	126.275	0.61900000	0.84900000	0.818	2.377	0.955	2.117	1.121	2.045	0.000	0.909	0.000	0.643	0.000	0.492	3.096	99999.000	4.537	99999.000	5.992	99999.000
3.148	0.000	99999.000	0.00900000	0.00900000	2.365	3.842	2.652	3.662	2.738	3.584	0.000	0.788	0.000	0.394	0.000	0.093	17.477	99999.000	26.148	99999.000	36.119	99999.000
2.322	0.000	99999.000	0.00100000	0.00400000	1.793	3.006	1.875	2.750	1.986	2.670	0.000	0.594	0.000	0.334	0.000	0.107	8.199	99999.000	12.789	99999.000	18.004	99999.000
2.590	0.002	99999.000	0.02400000	0.02500000	1.934	3.232	2.070	3.061	2.180	2.973	0.000	0.594	0.000	0.316	0.000	0.137	12.477	99999.000	17.770	99999.000	23.062	99999.000
2.379	0.151	116.719	0.61200000	0.66700000	1.121	3.854	1.406	3.371	1.609	3.205	0.000	1.245	0.000	0.882	0.000	0.714	7.043	99999.000	12.246	99999.000	16.211	99999.000
1.625	0.000	99999.000	0.12300000	0.20200000	1.129	2.338	1.342	2.068	1.371	1.977	0.000	0.311	0.000	0.104	0.000	0.040	4.996	99999.000	8.463	99999.000	16.422	99999.000
2.711	0.033	60.078	0.63500000	0.71000000	1.098	3.816	1.371	3.564	1.615	3.395	0.000	1.477	0.000	1.107	0.000	0.840	6.631	99999.000	9.883	99999.000	13.262	99999.000
2.262	0.000	99999.000	0.08200000	0.11800000	1.730	2.809	1.793	2.668	1.924	2.602	0.000	0.541	0.000	0.258	0.000	0.067	9.781	99999.000	15.016	99999.000	21.266	99999.000
1.902	0.000	99999.000	0.03600000	0.07200000	1.334	2.598	1.463	2.357	1.588	2.264	0.000	0.534	0.000	0.172	0.000	0.053	7.311	99999.000	11.344	99999.000	16.441	99999.000
2.684	0.000	99999.000	0.48300000	0.88700000	2.041	3.363	2.191	3.137	2.246	3.043	0.000	0.696	0.000	0.387	0.000	0.083	12.613	99999.000	19.898	99999.000	27.125	99999.000
2.752	0.000	99999.000	0.00700000	0.01000000	2.143	3.357	2.264	3.189	2.371	3.094	0.000	0.687	0.000	0.306	0.000	0.091	13.902	99999.000	19.859	99999.000	27.594	99999.000
2.703	0.005	23.496	0.65000000	0.48300000	0.648	4.248	1.107	3.811	1.357	3.566	0.000	2.148	0.000	1.415	0.000	1.032	3.701	99999.000	6.143	99999.000	8.311	99999.000
2.504	0.000	99999.000	0.01100000	0.01100000	1.967	3.174	2.037	2.965	2.180	2.898	0.000	0.573	0.000	0.348	0.000	0.079	13.238	99999.000	17.730	99999.000	23.141	99999.000
1.951	0.005	99999.000	0.00400000	0.02600000	1.191	2.678	1.406	2.451	1.598	2.328	0.000	0.527	0.000	0.318	0.000	0.104	6.783	99999.000	9.586	99999.000	12.633	99999.000
2.082	0.000	99999.000	0.00500000	0.02300000	1.588	2.760	1.734	2.551	1.787	2.451	0.000	0.473	0.000	0.204	0.000	0.077	7.906	99999.000	10.465	99999.000	15.699	99999.000
2.129	0.000	99999.000	0.08300000	0.15300000	1.629	2.777	1.752	2.547	1.818	2.455	0.000	0.656	0.000	0.243	0.000	0.079	7.994	99999.000	11.832	99999.000	16.109	99999.000
1.613	0.000	99999.000	0.22900000	0.28500000	1.129	2.211	1.312	2.033	1.359	1.963	0.000	0.445	0.000	0.104	0.000	0.035	4.928	99999.000	8.355	99999.000	12.574	99999.000
2.441	0.000	99999.000	0.01200000	0.01100000	1.871	3.191	1.994	2.934	2.129	2.791	0.000	0.664	0.000	0.285	0.000	0.070	11.373	99999.000	17.066	99999.000	22.242	99999.000
2.611	0.004	4.442	0.89000000	0.66900000	0.000	6.650	0.072	5.227	0.590	4.654	0.000	1.695	0.000	0.962	0.000	0.193	1.088	99999.000	2.211	99999.000	2.946	99999.000
1.875	0.067	5.931	0.94200000	0.95700000	0.000	4.326	0.064	3.686	0.559	3.350	0.000	1.438	0.000	0.633	0.000	0.121	1.227	99999.000	2.032	99999.000	2.819	99999.000
2.197	0.000	99999.000	0.04300000	0.08500000	1.611	2.930	1.773	2.701	1.881	2.572	0.000	0.568	0.000	0.258	0.000	0.084	9.059	99999.000	12.906	99999.000	18.512	99999.000
2.055	0.000	99999.000	0.01100000	0.04100000	1.523	2.824	1.656	2.539	1.754	2.418	0.000	0.457	0.000	0.174	0.000	0.051	6.969	99999.000	11.520	99999.000	16.461	99999.000
2.438	0.002	99999.000	0.13100000	0.10400000	1.672	3.092	1.922	2.893	2.059	2.807	0.000	0.582	0.000	0.399	0.000	0.155	11.422	99999.000	16.207	99999.000	20.445	99999.000
1.668	0.650	38.906	0.70800000	0.75600000	0.486	5.877	0.916	4.172	1.201	3.852	0.000	3.401	0.000	1.260	0.000	0.793	3.662	99999.000	5.293	99999.000	6.636	99999.000
0.832	0.582	99999.000	0.74300000	0.57800000	0.000	4.002	0.219	2.844	0.520	2.488	0.000	3.862	0.000	0.322	0.000	0.053	2.643	99999.000	6.080	99999.000	7.545	99999.000
1.906	0.000	99999.000	0.44900000	0.68900000	1.400	2.553	1.586	2.322	1.643	2.252	0.000	0.519	0.000	0.204	0.000	0.077	7.828	99999.000	10.523	99999.000	16.598	99999.000
2.250	0.000	99999.000	0.03300000	0.04100000	1.746	3.016	1.855	2.719	1.947	2.621	0.000	0.522	0.000	0.255	0.000	0.060	10.543	99999.000	15.309	99999.000	23.375	99999.000
2.188	0.000	99999.000	0.28100000	0.06700000	1.648	2.896	1.801	2.639	1.885	2.562	0.000	0.487	0.000	0.287	0.000	0.060	8.248	99999.000	13.980	99999.000	19.039	99999.000
2.186	0.033	43.984	0.63100000	0.60400000	0.928	3.287	1.127	3.055	1.338	2.863	0.000	1.306	0.000	0.939	0.000	0.710	4.475	99999.000	7.100	99999.000	9.028	99999.000
2.035	0.000	99999.000	0.30400000	0.30400000	1.504	2.697	1.629	2.438	1.742	2.379	0.000	0.510	0.000	0.185	0.000	0.063	7.535	99999.000	11.812	99999.000	16.402	99999.000
3.029	0.000	99999.000	0.16700000	0.10000000	2.295	3.686	2.537	3.514	2.598	3.408	0.000	0.714	0.000	0.387	0.000	0.111	16.471	99999.000	25.133	99999.000	38.453	99999.000
2.824	0.016	79.688	0.20800000	0.09200000	1.072	3.875	1.543	3.570	1.785	3.434	0.000	1.477	0.000	1.021	0.000	0.842	7.573	99999.000	11.890	99999.000	16.846	99999.000
2.604	0.000	99999.000	0.03600000	0.05400000	2.010	3.281	2.107	3.033	2.211	2.955	0.000	0.606	0.000	0.315	0.000	0.105	14.234	99999.000	20.250	99999.000	25.914	99999.000
2.305	0.000	4.788	0.94600000	0.81700000	0.000	5.477	0.252	4.664	0.703	4.131	0.000	1.767	0.000	0.601	0.000	0.181	0.927	99999.000	1.909	99999.000	2.791	99999.000
2.617	0.000	99999.000	0.03600000	0.03900000	2.068	3.354	2.160	3.131	2.277	2.994	0.000	0.563	0.000	0.316	0.000	0.109	14.312	99999.000	20.211	99999.000	25.904	99999.000
3.189	0.000	46.016	0.61900000	0.55200000	1.227	4.578	1.637	4.189	1.805	3.982	0.000	1.962	0.000	1.238	0.000	1.032	7.051	99999.000	11.758	99999.000	15.217	99999.000
2.674	0.047	16.572	0.69300000	0.54800000	0.477	4.611	0.947	4.098	1.246	3.828	0.000	1.549	0.000	1.053	0.000	0.796	3.149	99999.000	4.480	99999.000	6.113	99999.000
2.244	0.000	795.000	0.56800000	0.66600000	1.328	2.734	1.551	2.613	1.689	2.541	0.000	0.856	0.000	0.656	0.000	0.550	8.330	99999.000	11.758	99999.000	14.238	99999.000
