Acceptancenum	Simnum	Time	T0	T1	TMRCA	Variance	epsilonV	Heterozygosis	epsilonH	Numberofconfig	epsilonC	SASHloc	SH	MASH	SASH	SHchanges	SHdist	HBC	Simnum	Alpha
1	128	0.042543	0.006216	26.310972	0.046553	0.181663	-0.024002	0.262059	-0.030195	28	0.034483	0.025272	0.564849	0.520363	0.092749	0.711538	0.127368	0.300000	128	0.100000
2	872	0.004354	0.008317	102.731064	0.012101	0.161320	0.090668	0.266384	-0.047197	27	0.068966	0.027840	0.712576	0.677128	0.109791	0.702128	0.105548	0.372093	872	0.100000
3	888	0.011311	0.003435	72.969727	0.013460	0.171864	0.031232	0.253722	0.002580	31	-0.068966	0.019246	0.548619	0.504391	0.089239	0.818182	0.126676	0.515625	888	0.100000
4	5296	0.067366	0.007401	18.719193	0.082012	0.172685	0.026608	0.268502	-0.055523	28	0.034483	0.101822	0.660987	0.462448	0.369340	0.725490	0.350325	0.243243	5296	0.100000
5	5560	0.095093	0.003469	14.649791	0.098075	0.187054	-0.054393	0.269666	-0.060096	27	0.068966	0.013733	0.604352	0.530187	0.157861	0.688889	0.069869	0.307692	5560	0.100000
6	7872	0.037033	0.003724	44.934101	0.039741	0.167614	0.055191	0.256660	-0.008971	30	-0.034483	0.086827	0.721412	0.450353	0.493151	0.803030	0.369010	0.387755	7872	0.100000
7	9725	0.077635	0.006537	17.374638	0.085211	0.162468	0.084195	0.271366	-0.066780	29	0.000000	0.029724	0.491892	0.438919	0.094412	0.714286	0.134643	0.236842	9725	0.100000
8	13299	0.006145	0.009456	90.819374	0.010870	0.180313	-0.016394	0.267935	-0.053295	30	-0.034483	0.030440	0.576647	0.548732	0.061858	0.730159	0.132898	0.361702	13299	0.100000
9	14301	0.058759	0.001325	22.717424	0.061198	0.160813	0.093527	0.241090	0.052239	31	-0.068966	0.037444	0.652302	0.475024	0.337687	0.720000	0.179594	0.340426	14301	0.100000
10	15995	0.007682	0.005232	95.162819	0.013920	0.166801	0.059773	0.233812	0.080851	29	0.000000	0.014892	0.400824	0.373776	0.043192	0.784615	0.099128	0.462963	15995	0.100000
11	17341	0.050028	0.000368	26.715654	0.050112	0.170179	0.040731	0.261299	-0.027204	28	0.034483	0.040210	0.551788	0.477188	0.142689	0.698113	0.173853	0.348837	17341	0.100000
12	18596	0.048515	0.003821	31.808752	0.051895	0.172468	0.027827	0.251127	0.012781	31	-0.068966	0.031546	0.527931	0.391316	0.224443	0.750000	0.180093	0.340426	18596	0.100000
13	21285	0.055344	0.001001	26.977512	0.056051	0.170522	0.038798	0.262015	-0.030019	31	-0.068966	0.113122	0.802444	0.424158	0.656926	0.728814	0.425591	0.261905	21285	0.100000
14	37115	0.013326	0.007554	69.982903	0.034027	0.170940	0.036444	0.265907	-0.045321	31	-0.068966	0.015924	0.554659	0.503904	0.102308	0.780822	0.107889	0.446429	37115	0.100000
15	37973	0.019043	0.004513	52.882950	0.022905	0.163572	0.077974	0.252052	0.009146	28	0.034483	0.034385	0.376604	0.291131	0.120576	0.758065	0.171842	0.500000	37973	0.100000
16	37991	0.049227	0.004990	18.064487	0.057178	0.162692	0.082934	0.250188	0.016475	27	0.068966	0.015056	0.461973	0.420805	0.071079	0.775862	0.089630	0.448980	37991	0.100000
17	38686	0.067304	0.004138	21.396646	0.068420	0.160992	0.092518	0.278017	-0.092929	28	0.034483	0.035475	0.628264	0.531490	0.206558	0.754717	0.136349	0.391304	38686	0.100000
