Acceptancenum	Simnum	Time	T0	T1	TMRCA	Variance	epsilonV	Heterozygosis	epsilonH	Numberofconfig	epsilonC	SASHloc	SH	MASH	SASH	SHchanges	SHdist	HBC	Simnum	Alpha
1	2678	0.043760	0.002948	48.135998	0.045893	0.307069	-0.098343	0.400747	0.012894	44	0.043478	0.070749	0.860028	0.781588	0.359140	0.772727	0.171928	0.290323	2678	0.100000
2	3138	0.032890	0.004538	57.882530	0.034844	0.267912	0.041717	0.413871	-0.019433	49	-0.065217	0.084825	0.908205	0.820877	0.487528	0.857143	0.191933	0.402439	3138	0.100000
3	4089	0.050485	0.008403	32.447075	0.055127	0.306808	-0.097410	0.444684	-0.095330	49	-0.065217	0.078347	0.899578	0.872437	0.212766	0.817073	0.172822	0.222222	4089	0.100000
4	4353	0.032197	0.007665	60.857670	0.035726	0.282655	-0.011016	0.415914	-0.024466	47	-0.021739	0.142730	0.892732	0.748931	0.572755	0.845361	0.315094	0.356164	4353	0.100000
5	6212	0.024072	0.009060	61.289387	0.029475	0.274467	0.018271	0.386876	0.047059	43	0.065217	0.066381	0.775485	0.705737	0.237028	0.840426	0.199174	0.358209	6212	0.100000
6	7475	0.010051	0.002343	140.631805	0.012595	0.265802	0.049265	0.380523	0.062709	49	-0.065217	0.062712	0.682517	0.616715	0.171680	0.852174	0.188128	0.355263	7475	0.100000
7	8713	0.065966	0.005046	30.178652	0.070683	0.296883	-0.061908	0.440150	-0.084163	42	0.086957	0.200258	0.873022	0.765468	0.458589	0.777778	0.336738	0.176471	8713	0.100000
8	9946	0.021150	0.008904	67.181961	0.025136	0.257740	0.078099	0.365534	0.099629	49	-0.065217	0.091402	0.811772	0.731760	0.298286	0.831683	0.242424	0.309859	9946	0.100000
9	12317	0.021062	0.007719	56.192051	0.026983	0.258516	0.075325	0.366489	0.097277	42	0.086957	0.043253	0.860150	0.775940	0.375839	0.829787	0.134901	0.408451	12317	0.100000
10	13249	0.026545	0.004794	63.678699	0.029558	0.281238	-0.005948	0.400433	0.013666	46	0.000000	0.066838	0.746346	0.719389	0.096065	0.802083	0.213370	0.233333	13249	0.100000
11	13731	0.016293	0.007409	95.351234	0.021695	0.307032	-0.098210	0.401433	0.011205	47	-0.021739	0.084773	0.849595	0.730129	0.442680	0.834783	0.206009	0.364865	13731	0.100000
12	14588	0.016739	0.006019	88.654953	0.022044	0.260194	0.069323	0.402775	0.007898	49	-0.065217	0.113298	0.875737	0.806528	0.357724	0.874016	0.270744	0.387500	14588	0.100000
13	15211	0.031370	0.009591	38.846119	0.040619	0.297718	-0.064896	0.374826	0.076742	42	0.086957	0.086386	0.756579	0.652256	0.300001	0.766234	0.190892	0.288136	15211	0.100000
14	15898	0.006059	0.008921	133.461945	0.019710	0.272804	0.024219	0.406310	-0.000808	42	0.086957	0.086892	0.672288	0.635380	0.101222	0.809524	0.184978	0.353846	15898	0.100000
15	17892	0.036132	0.001124	47.896061	0.036805	0.307077	-0.098370	0.398390	0.018699	46	0.000000	0.083881	0.682386	0.649561	0.093667	0.821782	0.240813	0.206897	17892	0.100000
16	18602	0.039128	0.000654	36.251434	0.039448	0.281186	-0.005761	0.382521	0.057786	43	0.065217	0.051273	0.813651	0.764897	0.207374	0.802326	0.151563	0.271186	18602	0.100000
17	19777	0.033448	0.009811	44.519974	0.038574	0.300574	-0.075111	0.396645	0.022997	44	0.043478	0.096819	0.812878	0.704408	0.366960	0.781609	0.207881	0.290323	19777	0.100000
