tau	theta0	theta1	pvalue	downtau(alpha=0.01)	uptau(alpha=0.01)	downtau(alpha=0.05)	uptau(alpha=0.05)	downtau(alpha=0.1)	uptau(alpha=0.1)	downtheta0(alpha=0.01)	uptheta0(alpha=0.01)	downtheta0(alpha=0.05)	uptheta0(alpha=0.05)	downtheta0(alpha=0.1)	uptheta0(alpha=0.1)	downtheta1(alpha=0.01)	uptheta1(alpha=0.01)	downtheta1(alpha=0.05)	uptheta1(alpha=0.05)	downtheta1(alpha=0.1)	uptheta1(alpha=0.1)	IS_tau	IS_theta0	IS_theta1	IS_pvalue	IS_downtau(alpha=0.01)	IS_uptau(alpha=0.01)	IS_downtau(alpha=0.05)	IS_uptau(alpha=0.05)	IS_downtau(alpha=0.1)	IS_uptau(alpha=0.1)	IS_downtheta0(alpha=0.01)	IS_uptheta0(alpha=0.01)	IS_downtheta0(alpha=0.05)	IS_uptheta0(alpha=0.05)	IS_downtheta0(alpha=0.1)	IS_uptheta0(alpha=0.1)	IS_downtheta1(alpha=0.01)	IS_uptheta1(alpha=0.01)	IS_downtheta1(alpha=0.05)	IS_uptheta1(alpha=0.05)	IS_downtheta1(alpha=0.1)	IS_uptheta1(alpha=0.1)	MSH	SH	MASH	P	SHchanges	DH	HBC
1.141	0.002	99999.000	0.10000000	0.912	1.248	0.912	1.248	0.912	1.248	0.000	0.018	0.000	0.018	0.000	0.018	38.531	99999.000	38.531	99999.000	38.531	99999.000	1.186	0.004	99999.000	0.10000000	0.846	1.561	0.846	1.561	0.846	1.561	0.000	0.042	0.000	0.042	0.000	0.042	3.541	99999.000	3.541	99999.000	3.541	99999.000	0.005467	0.265722	0.231192	0.044915	0.735849	0.051551	0.500000
1.359	0.000	99999.000	0.00000000	1.232	1.650	1.232	1.650	1.232	1.650	0.000	0.000	0.000	0.000	0.000	0.000	5.826	99999.000	5.826	99999.000	5.826	99999.000	1.551	0.000	99999.000	0.10000000	1.311	2.229	1.311	2.229	1.311	2.229	0.000	0.028	0.000	0.028	0.000	0.028	48.688	99999.000	48.688	99999.000	48.688	99999.000	0.024673	0.502311	0.385308	0.190344	0.815385	0.171310	0.530612
1.463	0.004	99999.000	0.00000000	1.205	2.029	1.205	2.029	1.205	2.029	0.000	0.009	0.000	0.009	0.000	0.009	7.047	99999.000	7.047	99999.000	7.047	99999.000	1.691	0.000	99999.000	0.40000000	1.566	2.137	1.566	2.137	1.566	2.137	0.000	0.030	0.000	0.030	0.000	0.030	8.482	99999.000	8.482	99999.000	8.482	99999.000	0.032154	0.537716	0.438838	0.176203	0.815789	0.188260	0.550000
1.793	0.004	99999.000	0.50000000	1.451	1.994	1.451	1.994	1.451	1.994	0.000	0.014	0.000	0.014	0.000	0.014	52.125	99999.000	52.125	99999.000	52.125	99999.000	1.982	0.002	99999.000	0.40000000	1.723	2.625	1.723	2.625	1.723	2.625	0.000	0.033	0.000	0.033	0.000	0.033	12.027	99999.000	12.027	99999.000	12.027	99999.000	0.021261	0.590154	0.510818	0.162180	0.797753	0.117539	0.446154
1.469	0.000	99999.000	0.30000000	1.432	2.006	1.432	2.006	1.432	2.006	0.000	0.200	0.000	0.200	0.000	0.200	99999.000	99999.000	99999.000	99999.000	99999.000	99999.000	1.590	0.000	99999.000	0.60000000	1.391	1.900	1.391	1.900	1.391	1.900	0.000	0.098	0.000	0.098	0.000	0.098	42.438	99999.000	42.438	99999.000	42.438	99999.000	0.018411	0.377570	0.316699	0.089084	0.787879	0.119198	0.450980
1.430	0.000	99999.000	0.20000000	0.930	1.641	0.930	1.641	0.930	1.641	0.000	0.026	0.000	0.026	0.000	0.026	5.436	99999.000	5.436	99999.000	5.436	99999.000	1.500	0.000	99999.000	0.10000000	1.367	1.854	1.367	1.854	1.367	1.854	0.000	0.009	0.000	0.009	0.000	0.009	7.916	99999.000	7.916	99999.000	7.916	99999.000	0.010364	0.480133	0.429455	0.088823	0.814286	0.071526	0.566667
1.314	0.000	99999.000	0.60000000	1.057	1.668	1.057	1.668	1.057	1.668	0.000	0.127	0.000	0.127	0.000	0.127	32.359	99999.000	32.359	99999.000	32.359	99999.000	1.580	0.000	42.122	0.70000000	0.934	2.090	0.934	2.090	0.934	2.090	0.000	0.315	0.000	0.315	0.000	0.315	4.092	99999.000	4.092	99999.000	4.092	99999.000	0.023236	0.404458	0.290008	0.161199	0.791667	0.147988	0.465517
1.156	0.053	99999.000	0.70000000	1.031	1.354	1.031	1.354	1.031	1.354	0.000	0.019	0.000	0.019	0.000	0.019	2.394	99999.000	2.394	99999.000	2.394	99999.000	1.262	0.000	99999.000	1.00000000	1.162	1.889	1.162	1.889	1.162	1.889	0.000	0.169	0.000	0.169	0.000	0.169	39.156	99999.000	39.156	99999.000	39.156	99999.000	0.007205	0.246635	0.218758	0.035683	0.818182	0.054184	0.480769
1.457	0.005	99999.000	0.10000000	1.330	1.998	1.330	1.998	1.330	1.998	0.000	0.037	0.000	0.037	0.000	0.037	7.750	99999.000	7.750	99999.000	7.750	99999.000	1.594	0.000	99999.000	0.60000000	1.379	1.711	1.379	1.711	1.379	1.711	0.000	0.016	0.000	0.016	0.000	0.016	17.203	99999.000	17.203	99999.000	17.203	99999.000	0.018517	0.450951	0.403508	0.079536	0.777778	0.120040	0.408163
1.668	0.000	99999.000	0.00000000	1.426	1.797	1.426	1.797	1.426	1.797	0.000	0.002	0.000	0.002	0.000	0.002	7.320	99999.000	7.320	99999.000	7.320	99999.000	1.760	0.002	99999.000	0.00000000	1.463	2.148	1.463	2.148	1.463	2.148	0.000	0.144	0.000	0.144	0.000	0.144	4.635	99999.000	4.635	99999.000	4.635	99999.000	0.009924	0.651345	0.575600	0.178475	0.746032	0.058094	0.508772
1.031	0.037	99999.000	0.60000000	0.898	1.771	0.898	1.771	0.898	1.771	0.000	0.012	0.000	0.012	0.000	0.012	99999.000	99999.000	99999.000	99999.000	99999.000	99999.000	1.539	0.104	6.353	0.80000000	0.602	3.793	0.602	3.793	0.602	3.793	0.000	1.004	0.000	1.004	0.000	1.004	5.336	99999.000	5.336	99999.000	5.336	99999.000	0.032779	0.361082	0.188801	0.212378	0.733333	0.249892	0.521739
1.381	0.000	99999.000	0.20000000	1.037	1.676	1.037	1.676	1.037	1.676	0.000	0.000	0.000	0.000	0.000	0.000	3.536	99999.000	3.536	99999.000	3.536	99999.000	1.750	0.000	99999.000	0.70000000	1.486	2.084	1.486	2.084	1.486	2.084	0.000	0.007	0.000	0.007	0.000	0.007	5.387	99999.000	5.387	99999.000	5.387	99999.000	0.031822	0.537390	0.362659	0.274156	0.766667	0.232784	0.490196
