tau	theta0	theta1	pvalue	downtau(alpha=0.01)	uptau(alpha=0.01)	downtau(alpha=0.05)	uptau(alpha=0.05)	downtau(alpha=0.1)	uptau(alpha=0.1)	downtheta0(alpha=0.01)	uptheta0(alpha=0.01)	downtheta0(alpha=0.05)	uptheta0(alpha=0.05)	downtheta0(alpha=0.1)	uptheta0(alpha=0.1)	downtheta1(alpha=0.01)	uptheta1(alpha=0.01)	downtheta1(alpha=0.05)	uptheta1(alpha=0.05)	downtheta1(alpha=0.1)	uptheta1(alpha=0.1)	IS_tau	IS_theta0	IS_theta1	IS_pvalue	IS_downtau(alpha=0.01)	IS_uptau(alpha=0.01)	IS_downtau(alpha=0.05)	IS_uptau(alpha=0.05)	IS_downtau(alpha=0.1)	IS_uptau(alpha=0.1)	IS_downtheta0(alpha=0.01)	IS_uptheta0(alpha=0.01)	IS_downtheta0(alpha=0.05)	IS_uptheta0(alpha=0.05)	IS_downtheta0(alpha=0.1)	IS_uptheta0(alpha=0.1)	IS_downtheta1(alpha=0.01)	IS_uptheta1(alpha=0.01)	IS_downtheta1(alpha=0.05)	IS_uptheta1(alpha=0.05)	IS_downtheta1(alpha=0.1)	IS_uptheta1(alpha=0.1)	MSH	SH	MASH	P	SHchanges	DH	HBC
1.141	0.002	99999.000	0.30000000	0.840	1.762	0.840	1.762	0.840	1.762	0.000	0.014	0.000	0.014	0.000	0.014	10.621	99999.000	10.621	99999.000	10.621	99999.000	1.186	0.004	99999.000	0.40000000	0.857	1.559	0.857	1.559	0.857	1.559	0.000	0.007	0.000	0.007	0.000	0.007	224.312	99999.000	224.312	99999.000	224.312	99999.000	0.005467	0.265722	0.231192	0.044915	0.735849	0.051551	0.500000
1.359	0.000	99999.000	0.10000000	0.955	2.000	0.955	2.000	0.955	2.000	0.000	0.360	0.000	0.360	0.000	0.360	4.254	99999.000	4.254	99999.000	4.254	99999.000	1.551	0.000	99999.000	0.00000000	1.398	1.773	1.398	1.773	1.398	1.773	0.000	0.032	0.000	0.032	0.000	0.032	44.156	99999.000	44.156	99999.000	44.156	99999.000	0.024673	0.502311	0.385308	0.190344	0.815385	0.171310	0.530612
1.463	0.004	99999.000	0.10000000	1.018	1.791	1.018	1.791	1.018	1.791	0.000	0.355	0.000	0.355	0.000	0.355	98.219	99999.000	98.219	99999.000	98.219	99999.000	1.691	0.000	99999.000	0.70000000	1.246	1.873	1.246	1.873	1.246	1.873	0.000	0.042	0.000	0.042	0.000	0.042	37.359	99999.000	37.359	99999.000	37.359	99999.000	0.032154	0.537716	0.438838	0.176203	0.815789	0.188260	0.550000
1.793	0.004	99999.000	0.00000000	1.400	2.023	1.400	2.023	1.400	2.023	0.000	0.011	0.000	0.011	0.000	0.011	21.734	99999.000	21.734	99999.000	21.734	99999.000	1.982	0.002	99999.000	0.30000000	1.725	2.246	1.725	2.246	1.725	2.246	0.000	0.156	0.000	0.156	0.000	0.156	13.629	99999.000	13.629	99999.000	13.629	99999.000	0.021261	0.590154	0.510818	0.162180	0.797753	0.117539	0.446154
1.469	0.000	99999.000	0.20000000	1.346	1.572	1.346	1.572	1.346	1.572	0.000	0.056	0.000	0.056	0.000	0.056	17.262	99999.000	17.262	99999.000	17.262	99999.000	1.590	0.000	99999.000	0.70000000	1.332	1.828	1.332	1.828	1.332	1.828	0.000	0.004	0.000	0.004	0.000	0.004	17.203	99999.000	17.203	99999.000	17.203	99999.000	0.018411	0.377570	0.316699	0.089084	0.787879	0.119198	0.450980
1.430	0.000	99999.000	0.00000000	1.191	1.564	1.191	1.564	1.191	1.564	0.000	0.019	0.000	0.019	0.000	0.019	14.059	99999.000	14.059	99999.000	14.059	99999.000	1.500	0.000	99999.000	0.20000000	1.252	1.852	1.252	1.852	1.252	1.852	0.000	0.007	0.000	0.007	0.000	0.007	35.094	99999.000	35.094	99999.000	35.094	99999.000	0.010364	0.480133	0.429455	0.088823	0.814286	0.071526	0.566667
1.314	0.000	99999.000	0.50000000	1.143	1.508	1.143	1.508	1.143	1.508	0.000	0.016	0.000	0.016	0.000	0.016	99999.000	99999.000	99999.000	99999.000	99999.000	99999.000	1.580	0.000	42.122	0.60000000	1.166	1.994	1.166	1.994	1.166	1.994	0.000	0.598	0.000	0.598	0.000	0.598	6.463	99999.000	6.463	99999.000	6.463	99999.000	0.023236	0.404458	0.290008	0.161199	0.791667	0.147988	0.465517
1.156	0.053	99999.000	0.70000000	0.990	1.602	0.990	1.602	0.990	1.602	0.000	0.025	0.000	0.025	0.000	0.025	2.848	99999.000	2.848	99999.000	2.848	99999.000	1.262	0.000	99999.000	0.70000000	1.092	1.854	1.092	1.854	1.092	1.854	0.000	0.174	0.000	0.174	0.000	0.174	38.609	99999.000	38.609	99999.000	38.609	99999.000	0.007205	0.246635	0.218758	0.035683	0.818182	0.054184	0.480769
1.457	0.005	99999.000	0.20000000	1.250	1.689	1.250	1.689	1.250	1.689	0.000	0.023	0.000	0.023	0.000	0.023	36.656	99999.000	36.656	99999.000	36.656	99999.000	1.594	0.000	99999.000	0.90000000	1.342	1.955	1.342	1.955	1.342	1.955	0.000	0.025	0.000	0.025	0.000	0.025	74.547	99999.000	74.547	99999.000	74.547	99999.000	0.018517	0.450951	0.403508	0.079536	0.777778	0.120040	0.408163
1.668	0.000	99999.000	0.00000000	1.410	2.303	1.410	2.303	1.410	2.303	0.000	0.046	0.000	0.046	0.000	0.046	6.891	99999.000	6.891	99999.000	6.891	99999.000	1.760	0.002	99999.000	0.00000000	1.381	1.961	1.381	1.961	1.381	1.961	0.000	0.227	0.000	0.227	0.000	0.227	12.086	99999.000	12.086	99999.000	12.086	99999.000	0.009924	0.651345	0.575600	0.178475	0.746032	0.058094	0.508772
1.031	0.037	99999.000	0.80000000	0.719	1.107	0.719	1.107	0.719	1.107	0.000	0.049	0.000	0.049	0.000	0.049	6.725	99999.000	6.725	99999.000	6.725	99999.000	1.539	0.104	6.353	1.00000000	0.377	3.189	0.377	3.189	0.377	3.189	0.000	0.051	0.000	0.051	0.000	0.051	3.824	99999.000	3.824	99999.000	3.824	99999.000	0.032779	0.361082	0.188801	0.212378	0.733333	0.249892	0.521739
1.381	0.000	99999.000	0.10000000	1.041	1.670	1.041	1.670	1.041	1.670	0.000	0.619	0.000	0.619	0.000	0.619	6.139	99999.000	6.139	99999.000	6.139	99999.000	1.750	0.000	99999.000	0.20000000	1.277	1.871	1.277	1.871	1.277	1.871	0.000	0.383	0.000	0.383	0.000	0.383	10.367	99999.000	10.367	99999.000	10.367	99999.000	0.031822	0.537390	0.362659	0.274156	0.766667	0.232784	0.490196
1.797	0.000	46.978	0.80000000	1.383	2.486	1.383	2.486	1.383	2.486	0.000	0.040	0.000	0.040	0.000	0.040	8.365	99999.000	8.365	99999.000	8.365	99999.000	1.955	0.000	17.584	0.80000000	0.000	2.846	0.000	2.846	0.000	2.846	0.000	0.867	0.000	0.867	0.000	0.867	6.558	99999.000	6.558	99999.000	6.558	99999.000	0.007124	0.437196	0.419170	0.031034	0.741935	0.057667	0.306122
1.436	0.000	99999.000	0.30000000	1.328	1.879	1.328	1.879	1.328	1.879	0.000	0.060	0.000	0.060	0.000	0.060	8.053	99999.000	8.053	99999.000	8.053	99999.000	1.500	0.000	99999.000	0.40000000	1.330	1.762	1.330	1.762	1.330	1.762	0.000	0.127	0.000	0.127	0.000	0.127	5.816	99999.000	5.816	99999.000	5.816	99999.000	0.009034	0.315672	0.280999	0.048225	0.796610	0.057063	0.480000
